Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
Assistant Brand Manager – Chivas,Pernod Ricard Vietnam,Thương lượng,Hồ Chí Minh,28/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","FMCG, Brand Building, Marketing Intelligence Analysis, Marketing Event Planning, Marketing Budgeting",https://www.vietnamworks.com/assistant-brand-manager-chivas--1708785-jv?source=searchResults&searchType=2&placement=1708785&sortBy=date
Quản Lý Nhãn Hàng / Brand Manager,Công Ty Cổ Phần Dược Phẩm Thái Minh,$1000 - $1500,Hà Nội,20/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Quảng Cáo Nhãn Hiệu, Digital Marketing, Brand Management, Truyền Thông Thương Hiệu, Tvc Production",https://www.vietnamworks.com/quan-ly-nhan-hang-brand-manager-32--1705780-jv?source=searchResults&searchType=2&placement=1705780&sortBy=date
Senior Creator,Công Ty TNHH Business Marketing Communications Agency,$340 - $800,Hồ Chí Minh,28/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Sáng Tạo Nội Dung, Digital Marketing, Content Creating, Graphic Design, Truyền Thông Thương Hiệu",https://www.vietnamworks.com/senior-creator-1719079-jv?source=searchResults&searchType=2&placement=1719079&sortBy=date
Brand Manager,Golden Gate Trade & Service JSC,Thương lượng,Hà Nội,08/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","FMCG, Branding, Brand Marketing, Brand Management, Marketing Development",https://www.vietnamworks.com/brand-manager--1711882-jv?source=searchResults&searchType=2&placement=1711882&sortBy=date
Assistant Brand Manager,The Vigo,$800 - $1000,Hà Nội,04/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Brand Planning, Truyền Thông, Quảng Bá Thương Hiệu, Nghiên Cứu Thị Trường, Branding Marketer",https://www.vietnamworks.com/assistant-brand-manager--1710660-jv?source=searchResults&searchType=2&placement=1710660&sortBy=date
Senior Brand Manager (FMCG Industry),Pmax - Total Performance Marketing Company,Thương lượng,Hồ Chí Minh,18/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Account Management, FMCG Industry, Brand Management, Marketing Management, FMCG",https://www.vietnamworks.com/senior-brand-manager-fmcg-industry--1726171-jv?source=searchResults&searchType=2&placement=1726171&sortBy=date
Quản Lý Nhãn Hàng (Brand Manager),Công Ty Cổ Phần Dược Phẩm Medbolide,$1500 - $2500,Hồ Chí Minh,07/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Quản Lý Nhãn Hàng, Marketing Channel",https://www.vietnamworks.com/quan-ly-nhan-hang-brand-manager-31--1710900-jv?source=searchResults&searchType=2&placement=1710900&sortBy=date
Chuyên Viên Marketing (Assistant Brand Manager),Công Ty Cổ Phần Sữa Việt Nam (Vinamilk),Thương lượng,Hồ Chí Minh,27/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Brand Activation, Brand Marketing, Branding, Digital Marketing, Marketing Planning",https://www.vietnamworks.com/chuyen-vien-marketing-assistant-brand-manager-5-1-1-2-1-1--1718530-jv?source=searchResults&searchType=2&placement=1718530&sortBy=date
"Marketing Specialist, Pet NutritionUrgent job",ADM,Thương lượng,Bình Dương,27/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Planning, FMCG, Marketing Retail, Branding POSM",https://www.vietnamworks.com/marketing-specialist-pet-nutrition--1718476-jv?source=searchResults&searchType=2&placement=1718476&sortBy=date
[Gấp] Chuyên Viên Truyền Thông Đối Ngoại,VietnamWorks' Client,Thương lượng,Hà Nội,07/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Truyền Thông Thương Hiệu, Phát Triển Thương Hiệu, Biên Tập Nội Dung, Tổ Chức Sự Kiện, Kế Hoạch Truyền Thông",https://www.vietnamworks.com/gap-chuyen-vien-truyen-thong-doi-ngoai--1722627-jv?source=searchResults&searchType=2&placement=1722627&sortBy=date
Trưởng Nhóm Truyền Thông Thương Hiệu Tuyển Dụng,FPT Information System (Fis),Thương lượng,Hà Nội,27/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông",Employer Branding,https://www.vietnamworks.com/truong-nhom-truyen-thong-thuong-hieu-tuyen-dung--1718534-jv?source=searchResults&searchType=2&placement=1718534&sortBy=date
Marketing Executive Under 1 Year Experience,Công Ty Cổ Phần Inn Saigon,$500 - $1000,Hồ Chí Minh,07/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Truyền Thông, Quảng Cáo, Marketing Trực Tiếp, Marketing Social",https://www.vietnamworks.com/marketing-executive-under-1-year-experience-1722786-jv?source=searchResults&searchType=2&placement=1722786&sortBy=date
