Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
Digital Marketing,Công Ty TNHH Thương Mại Minh Khương,$430 - $650,Hồ Chí Minh,15/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Mỹ Phẩm, Da Liễu Thẩm Mỹ, Social Media, Online Marketing, Digital Marketing",https://www.vietnamworks.com/digital-marketing--1725742-jv?source=searchResults&searchType=2&placement=1726092&sortBy=date
Marketing Manager (Mảng Giáo Dục)Headhunt jobs,Navigos Search,$2000 - $3000,Hà Nội,15/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","English, Education",https://www.vietnamworks.com/marketing-manager-mang-giao-duc-1725695-jv?source=searchResults&searchType=2&placement=1726045&sortBy=date
Trưởng Phòng Truyền Thông Marketing,Công Ty TNHH Sản Xuất Cơ Điện Và Thương Mại Phương Linh,$1300 - $1500,Hà Nội,15/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Chiến Lược Truyền Thông, Digital Marketing, Quảng Bá Thương Hiệu, Hệ Thống Nhận Diện Thương Hiệu, B2C Marketing",https://www.vietnamworks.com/truong-phong-truyen-thong-marketing-30--1725693-jv?source=searchResults&searchType=2&placement=1726043&sortBy=date
Digital Marketing - Nhân Viên Marketing,Công Ty TNHH Bee Tech,$400 - $600,Hồ Chí Minh,15/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital, Social Media, Digital Marketing, SEO, Online Marketing",https://www.vietnamworks.com/digital-marketing-nhan-vien-marketing--1722716-jv?source=searchResults&searchType=2&placement=1723066&sortBy=date
Chuyên Viên Truyền Thông,Công Ty CP Thực Phẩm Hữu Nghị,$500 - $700,Hà Nội,15/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Tổ Chức Sự Kiện PR Marketing, Event, Food Technology, Truyền Thông, Quảng Cáo",https://www.vietnamworks.com/chuyen-vien-truyen-thong-113-1-1--1725635-jv?source=searchResults&searchType=2&placement=1725985&sortBy=date
Associate Content Manager,Reckitt (Vietnam),Thương lượng,Hồ Chí Minh,01/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Trade Marketing, Content Creating, Content Management, Market Trend, Content Strategy",https://www.vietnamworks.com/associate-content-manager-1721134-jv?source=searchResults&searchType=2&placement=1721484&sortBy=date
Marketing Executive(Customer-Based) - Oversea Job Opportunity,Vietnamworks' Client,Thương lượng,Quốc tế,15/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Communication, Digital Advertising, Online Marketing, Promotion Management, Social Network Media",https://www.vietnamworks.com/marketing-executive-customer-based-oversea-job-opportunity-1-1-1-1--1725417-jv?source=searchResults&searchType=2&placement=1725767&sortBy=date
Strategic Planner Intern,Happiness Saigon,Thương lượng,Hồ Chí Minh,15/12/2023,Thực tập sinh/Sinh viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","English Communications, Planning Marketing Strategy, Stragegic Planning, Creative Marketing",https://www.vietnamworks.com/strategic-planner-intern-1--1712659-jv?source=searchResults&searchType=2&placement=1713009&sortBy=date
Marketing Communication Executive,Công Ty Cổ Phần Tập Đoàn Golden Gate - Chi Nhánh Miền Nam,Thương lượng,Hồ Chí Minh,24/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Account Planning, Communication Marketing",https://www.vietnamworks.com/marketing-communication-executive--1718123-jv?source=searchResults&searchType=2&placement=1718473&sortBy=date
Copywriter,Công Ty TNHH Airr Labs (Việt Nam),Thương lượng,Hồ Chí Minh,15/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông",Content Copy Writer,https://www.vietnamworks.com/copywriter--1725567-jv?source=searchResults&searchType=2&placement=1725917&sortBy=date
